Timestamp,Filename,Insect,Confidence,Severity
2026-04-29 17:11:27,2020-09-13_12-54-38.jpg,fleas,96.7%,Severe
2026-04-29 17:16:09,no_bite1.jpg,no_bites,94.4%,Moderate
2026-05-04 12:02:32,bed_bugsimage607.jpg,bed_bugs,91.9%,Moderate
2026-05-04 12:02:38,bed_bugsimage607.jpg,bed_bugs,82.4%,Moderate
